alias_id,college_id,alias_name,alias_normalized,authority,year,source_id,notes
371,340,"Fakhruddin Ali Ahmed Medical College, Barpeta",fakhruddin ali ahmed medical college,MCC,,,
372,336,"FACULTY OF DEN SCI, KG MED UNIV,LUCKNOW",faculty of den science kg medical university,MCC,,,
373,1081,"PATNA DENTAL COLLEGE & HOSPITAL, PATNA",patna dental college and hospital,MCC,,,
374,423,"Government Dental College and Hospital, Vijayawada",government dental college and hospital,MCC,,,
375,675,Government Medical College Siddipet,government medical college siddipet,MCC,,,
376,423,"GOVT. DENTAL COLLEGE & HOSP.,MUMBAI",government dental college and hospital,MCC,,,
377,1146,RAMPURHAT GOVT MEDICAL COLLEGE RAMPURHAT,rampurhat government medical college rampurhat,MCC,,,
378,1420,ZORAM MEDICAL COLLEGE Falkawn,zoram medical college falkawn,MCC,,,
379,815,"Jawaharlal Nehru Institute of Dental Sciences, Imphal",jawaharlal nehru institute of dental sciences,MCC,,,
380,751,"Hamdard Inst. of Med. Sciences and Research, New Delhi",hamdard institute of medical sciences and research,MCC,,,
381,419,"GOVT. DENTAL COLLEGE, RAIPUR",government dental college,MCC,,,
382,1367,"Tomo Riba Institute Health and Medical Sciences, Naharlagun",tomo riba institute health and medical sciences,MCC,,,
383,436,Government Dental College Hyderabad,government dental college hyderabad,MCC,,,
384,929,"M.G.D.C. & HOSPITAL, PUDUCHERRY",m g d c and hospital,MCC,,,
385,308,"ESIC Dental College, New Delhi",esic dental college,MCC,,,
386,414,"GOVT. DC & RESEARCH INSt., BELLARY",government dc and research institute,MCC,,,
387,417,GOVT DEN COLL DENTAL WING PATIALA,government den college dental wing patiala,MCC,,,
388,423,"GOVT. DENTAL COLLEGE & HOSP.,NAGPUR",government dental college and hospital,MCC,,,
389,419,"GOVT. DENTAL COLLEGE, KOTTAYAM",government dental college,MCC,,,
390,423,"GOVT. DENTAL COLLEGE & HOSP.,AURANGABAD",government dental college and hospital,MCC,,,
391,439,GOVT DENTAL COLLEGE Kannur,government dental college kannur,MCC,,,
392,233,"DC, RIMS, Imphal",dc rims,MCC,,,
393,419,"GOVT. DENTAL COLLEGE, SHIMLA",government dental college,MCC,,,
394,237,"Dental Institue, RIMS, Ranchi",dental institue rims,MCC,,,
395,1124,"Rajah Muthiah Dental College and Hos. , Annamalai",rajah muthiah dental college and hos,MCC,,,
396,1153,"REGIONAL DENTAL COLLEGE, GUWAHATI",regional dental college,MCC,,,
397,419,"Government Dental College, Thrissur",government dental college,MCC,,,
398,392,"GOA DENTAL COLLEGE & HOSPITAL, GOA",goa dental college and hospital,MCC,,,
399,1066,"NORTH BENGAL DENT.COLL,SUSHRUTNAGAR",north bengal dent college,MCC,,,
400,423,"GOVT. DENTAL COLLEGE & HOSP,AHMEDABAD",government dental college and hospital,MCC,,,
401,446,Govt Dental College RIMS Kadapa,government dental college rims kadapa,MCC,,,
402,1252,"Shri Sathya Sai Medical College and RI, Kancheepuram",shri sathya sai medical college and ri,MCC,,,
403,249,Dr. B.R. Ambedkar State Institute of Medical Sciences,doctor b r ambedkar state institute of medical sciences,MCC,,,
404,29,"AIIMS, Bibi Nagar, Hyderabad",aiims bibi nagar,MCC,,,
405,131,Bangalore Medical College and Research Institute,bangalore medical college and research institute,MCC,,,
