college_id,college_code,college_name,name_normalized,state,city,ownership,counselling,courses,annual_intake,fee_govt_quota,fee_private,nmc_approved,source_id,notes
43,,"AIIMS Jammu,AIIMS Vijaypur Samba Jammu, Jammu And Kashmir, 18410",aiims jammu aiims vijaypur samba jammu jammu and kashmir 18410,Jammu And Kashmir,,government,MCC,,,,,1,,auto-generated from allotment data; needs manual review
44,,"AIIMS, Jodhpur,BASNI PHASE - II, JODHPUR-342005, Rajasthan, 342005",aiims jodhpur basni phase ii jodhpur rajasthan,Rajasthan,,government,MCC,,,,,1,,auto-generated from allotment data; needs manual review
45,,"AIIMS, Kalyani,NH-34 Connector, Basantapur, Saguna, Kalyani, 741245, West Bengal, India, West Bengal, 741245",aiims kalyani nh 34 connector basantapur saguna kalyani west bengal india west bengal,West Bengal,,government,MCC,,,,,1,,auto-generated from allotment data; needs manual review
46,,"AIIMS, Madurai,AIIMS MADURAI, Tamil Nadu, 625008",aiims madurai aiims madurai tamil nadu,Tamil Nadu,,government,MCC,,,,,1,,auto-generated from allotment data; needs manual review
47,,AIIMS Mangalagiri,aiims mangalagiri,Unknown,,government,MCC,,,,,1,,auto-generated from allotment data; needs manual review
48,,"AIIMS Mangalagiri ,ALL INDIA INSTITUTE OF MEDICAL SCIENCES NEAR TADEPALLI MANGALAGIRI GUNTUR (Dt) ANDHRA PRADESH, Andhra Pradesh, 522503",aiims mangalagiri all india institute of medical sciences near tadepalli mangalagiri guntur dt andhra pradesh andhra pradesh,Andhra Pradesh,,government,MCC,,,,,1,,auto-generated from allotment data; needs manual review
49,,"AIIMS, Nagpur,PLOT NO 2 SECTOR 20 MIHAN NAGPUR, Maharashtra, 441108",aiims nagpur plot no 2 sector 20 mihan nagpur maharashtra,Maharashtra,,government,MCC,,,,,1,,auto-generated from allotment data; needs manual review
50,,"AIIMS, New Delhi,AIIMS ANSARI NAGAR EAST AUROBINDO MARG NEW DELHI 110029, Delhi (NCT), 110029",aiims new delhi aiims ansari nagar east aurobindo marg new delhi delhi nct,Delhi (NCT),,government,MCC,,,,,1,,auto-generated from allotment data; needs manual review
51,,"AIIMS, Patna,Phulwarisharif, Patna-801507, Bihar, 801507",aiims patna phulwarisharif patna bihar,Bihar,,government,MCC,,,,,1,,auto-generated from allotment data; needs manual review
52,,"AIIMS, Patna,Phulwarisharif, Patna, Bihar-801507, Bihar, 801507",aiims patna phulwarisharif patna bihar bihar,Bihar,,government,MCC,,,,,1,,auto-generated from allotment data; needs manual review
53,,"AIIMS, Rai Bareli ,All India Institute of Medical Sciences Raebareli, Uttar Pradesh, 229405",aiims rai bareli all india institute of medical sciences raebareli uttar pradesh,Uttar Pradesh,,government,MCC,,,,,1,,auto-generated from allotment data; needs manual review
54,,"AIIMS, Raipur,Tatibandh, G E Road, Raipur Chhattisgarh, Pin - 492099, Chhattisgarh, 492099",aiims raipur tatibandh g e road raipur chhattisgarh pin chhattisgarh,Chhattisgarh,,government,MCC,,,,,1,,auto-generated from allotment data; needs manual review
55,,AIIMS Rajkot,aiims rajkot,Gujarat,,government,MCC,,,,,1,,auto-generated from allotment data; needs manual review
56,,"AIIMS Rajkot,Admission cell, Academic section, First floor, Academic block, Permanent Campus, AIIMS Rajkot, Khand, Gujarat, 360110",aiims rajkot admission cell academic section first floor academic block permanent campus aiims rajkot khand gujarat,Gujarat,,government,MCC,,,,,1,,auto-generated from allotment data; needs manual review
57,,"AIIMS Rajkot,MBBS admission cell Room No.3, Ground floor, AYUSH, Permanent Campus, AIIMS Rajkot, Khanderi, Gujarat, 360006",aiims rajkot mbbs admission cell room no 3 ground floor ayush permanent campus aiims rajkot khanderi gujarat,Gujarat,,government,MCC,,,,,1,,auto-generated from allotment data; needs manual review
58,,"AIIMS Rajkot,Temporary Campus AIIMS Rajkot Opposite PMSSY building PDU MEdical college campus Civil hospital Ra, Gujarat, 360001",aiims rajkot temporary campus aiims rajkot opposite pmssy building pdu medical college campus civil hospital ra gujarat,Gujarat,,government,MCC,,,,,1,,auto-generated from allotment data; needs manual review
59,,"AIIMS, Rishikesh ,ALL INDIA INSTITUTE OF MEDICAL SCIENCES, RISHIKESH Uttarakhand - 249203, Uttarakhand, 249203",aiims rishikesh all india institute of medical sciences rishikesh uttarakhand uttarakhand,Uttarakhand,,government,MCC,,,,,1,,auto-generated from allotment data; needs manual review
60,,AIIMS Telangana Bibi Nagar Village Rangapur Mandal Name Bibinagar,aiims telangana bibi nagar village rangapur mandal name bibinagar,Telangana,,government,MCC,,,,,1,,auto-generated from allotment data; needs manual review
61,,"Akash Institute of Medical Sciences and Research Centre,DEVANAHALLI,,BANGA LORE",akash institute of medical sciences and research centre devanahalli,Karnataka,,government,KEA,,,,,1,,auto-generated from allotment data; needs manual review
62,,"Akash Institute of Medical Sciences and Research Centre,DEVANAHALLI,NEAR BANGALORE INTERNATIONAL,BANGALORE",akash institute of medical sciences and research centre devanahalli near bangalore international,Karnataka,,government,KEA,,,141446.0,1092852.0,1,,auto-generated from allotment data; needs manual review
63,,"Al-Ameen Dental College,Athani Road,Bijapur",al ameen dental college athani road,Karnataka,,government,KEA,,,,,1,,auto-generated from allotment data; needs manual review
64,,"Al-Ameen Medical College,ADMINISTRATIVE BLOCK,VIJAYAPUR",al ameen medical college administrative block,Karnataka,,government,KEA,,,,,1,,auto-generated from allotment data; needs manual review
65,,"Al-Ameen Medical College,ADMINISTRATIVE BLOCK,Athani Road,VIJAYAPUR",al ameen medical college administrative block athani road,Karnataka,,government,KEA,,,141446.0,1092852.0,1,,auto-generated from allotment data; needs manual review
66,,"Al Badar Dental College and Hospital,Sy No.12, Daryapur Village,Near PDA Engg College,GDA,Gulbarga",al badar dental college and hospital sy no 12 daryapur village near pda engg college gda,Karnataka,,government,KEA,,,,,1,,auto-generated from allotment data; needs manual review
67,,All India,all india,Unknown,,government,MCC,,,,,1,,auto-generated from allotment data; needs manual review
68,,"Amrita Institute of Medical Science, Kochi",amrita institute of medical science,Kerala,,government,MCC,,,,,1,,auto-generated from allotment data; needs manual review
