year,college_code,college_name,discipline,course,seat_type,fee_per_annum
2021,M065,"Srinivasa Institute of Medical Research Center,Mangalore",MEDICAL,MBBS,PRIV,994406
2021,M065,"Srinivasa Institute of Medical Research Center,Mangalore",MEDICAL,MBBS,NRI,3112450
2021,M065,"Srinivasa Institute of Medical Research Center,Mangalore",MEDICAL,MBBS,OTHERS,3112450
2021,M066,"ESI Medical College,Bangalore",MEDICAL,MBBS,GOVT,109850
2021,M067,"Subbaiah Institute of Medical Science,Shimoga",MEDICAL,MBBS,GOVT,141196
2021,M067,"Subbaiah Institute of Medical Science,Shimoga",MEDICAL,MBBS,PRIV,994406
2021,M067,"Subbaiah Institute of Medical Science,Shimoga",MEDICAL,MBBS,NRI,3961450
2021,M067,"Subbaiah Institute of Medical Science,Shimoga",MEDICAL,MBBS,OTHERS,3961450
2021,M068,"BGS Global Institute of Medical Sciences,Kengeri, Bangalore",MEDICAL,MBBS,GOVT,141196
2021,M068,"BGS Global Institute of Medical Sciences,Kengeri, Bangalore",MEDICAL,MBBS,PRIV,994406
2021,M068,"BGS Global Institute of Medical Sciences,Kengeri, Bangalore",MEDICAL,MBBS,NRI,3512450
2021,M068,"BGS Global Institute of Medical Sciences,Kengeri, Bangalore",MEDICAL,MBBS,OTHERS,3512450
2021,M069,"Shridevi Institute of Medical Sciences and Research Hospital,Tumkur",MEDICAL,MBBS,GOVT,141196
2021,M069,"Shridevi Institute of Medical Sciences and Research Hospital,Tumkur",MEDICAL,MBBS,PRIV,994406
2021,M069,"Shridevi Institute of Medical Sciences and Research Hospital,Tumkur",MEDICAL,MBBS,NRI,3252450
2021,M069,"Shridevi Institute of Medical Sciences and Research Hospital,Tumkur",MEDICAL,MBBS,OTHERS,3252450
2021,M070,"ESI Medical College,Gulbarga",MEDICAL,MBBS,GOVT,109850
2021,M071,"The Oxford Medical College Hospital and Research Center,Bangalore",MEDICAL,MBBS,GOVT,141196
2021,M071,"The Oxford Medical College Hospital and Research Center,Bangalore",MEDICAL,MBBS,PRIV,994406
2021,M071,"The Oxford Medical College Hospital and Research Center,Bangalore",MEDICAL,MBBS,NRI,3612450
2021,M071,"The Oxford Medical College Hospital and Research Center,Bangalore",MEDICAL,MBBS,OTHERS,3412450
2021,M072,"Gulbarga Institute of Medical Sciences,GULBARGA",MEDICAL,MBBS,GOVT,59850
2021,M073,"Koppal Institute of Medical Sciences,KOPPAL",MEDICAL,MBBS,GOVT,59850
2021,M074,"Gadag Institute of Medical Sciences,GADAG",MEDICAL,MBBS,GOVT,59850
2021,M075,"Chamarajanagar Institute of Medical Science,CHAMARAJANAGAR",MEDICAL,MBBS,GOVT,59850
2021,M076,"Karwar Institute of Medical Science,UTTARA KANNADA",MEDICAL,MBBS,GOVT,59850
2021,M077,"Kodagu Institute of Medical Sciences,MADIKERI",MEDICAL,MBBS,GOVT,59850
2021,M078,"Akash Institute of Medical Sciences and Research Centre,BANGALORE",MEDICAL,MBBS,GOVT,141196
2021,M078,"Akash Institute of Medical Sciences and Research Centre,BANGALORE",MEDICAL,MBBS,PRIV,994406
2021,M078,"Akash Institute of Medical Sciences and Research Centre,BANGALORE",MEDICAL,MBBS,NRI,3612450
2021,M078,"Akash Institute of Medical Sciences and Research Centre,BANGALORE",MEDICAL,MBBS,OTHERS,3612450
2021,M079,"Kanachur Institute of Medical Sciences and Research Centre,MANGALORE",MEDICAL,MBBS,GOVT,141196
2021,M079,"Kanachur Institute of Medical Sciences and Research Centre,MANGALORE",MEDICAL,MBBS,PRIV,994406
2021,M079,"Kanachur Institute of Medical Sciences and Research Centre,MANGALORE",MEDICAL,MBBS,NRI,2712450
2021,M079,"Kanachur Institute of Medical Sciences and Research Centre,MANGALORE",MEDICAL,MBBS,OTHERS,2512450
2021,M081,"East Point College of Medical Sciences and Research Center,Bangalore",MEDICAL,MBBS,GOVT,141196
2021,M081,"East Point College of Medical Sciences and Research Center,Bangalore",MEDICAL,MBBS,PRIV,994406
2021,M081,"East Point College of Medical Sciences and Research Center,Bangalore",MEDICAL,MBBS,NRI,3612450
2021,M081,"East Point College of Medical Sciences and Research Center,Bangalore",MEDICAL,MBBS,OTHERS,3612450
2021,M082,"Shri Atal Bihari Vajpayee Institute of Medical Science,Bengaluru",MEDICAL,MBBS,GOVT,59850
2021,M083,"Dr. Chandramma Dayananda Sagar Institute of Medical Education,Harohalli hobli, Ramanagara",MEDICAL,MBBS,GOVT,144246
2021,M083,"Dr. Chandramma Dayananda Sagar Institute of Medical Education,Harohalli hobli, Ramanagara",MEDICAL,MBBS,PRIV,2015500
2021,M083,"Dr. Chandramma Dayananda Sagar Institute of Medical Education,Harohalli hobli, Ramanagara",MEDICAL,MBBS,NRI,3215500
2021,M083,"Dr. Chandramma Dayananda Sagar Institute of Medical Education,Harohalli hobli, Ramanagara",MEDICAL,MBBS,OTHERS,3215500
2021,M084,"Chikkaballapura Institute of Medical Science,Chikkaballapura",MEDICAL,MBBS,GOVT,59850
2021,M088,"G R Medical College and Research Center,Mangalore",MEDICAL,MBBS,GOVT,141196
2021,M088,"G R Medical College and Research Center,Mangalore",MEDICAL,MBBS,PRIV,994406
2021,M088,"G R Medical College and Research Center,Mangalore",MEDICAL,MBBS,NRI,2712450
2021,M088,"G R Medical College and Research Center,Mangalore",MEDICAL,MBBS,OTHERS,2712450
2021,M089,"Jagadguru Gangadhar Mahaswamigalu Moorusavirmath Medical College,Dharwar",MEDICAL,MBBS,GOVT,141196
2021,D101,"Government Dental College,Bangalore",DENTAL,BDS,GOVT,49850
2021,D102,"Dr.M.R.Ambedkar Dental College and Hospital,Bangalore",DENTAL,BDS,GOVT,95808
2021,D102,"Dr.M.R.Ambedkar Dental College and Hospital,Bangalore",DENTAL,BDS,PRIV,678079
