neet_roll_no,neet_score,neet_ai_rank,category,hk,rural,clause,karnataka
2702106676,325,301485,Category-2A,No,Yes,Clause-a,Yes
2705107087,325,301523,Category-2B,Yes,No,Clause-a,Yes
2702040157,325,301532,Category-2A,No,No,Clause-a,Yes
2704010028,325,301576,Category-2A,No,No,Clause-a,Yes
2701001586,325,301594,Category-2B,No,No,Clause-a,Yes
2703009461,325,301600,Category-2A,No,No,Clause-a,Yes
2701002215,325,301610,Category-3B,No,No,Clause-a,Yes
2705027043,325,301625,Category-2A,Yes,No,Clause-a,Yes
2702016375,325,301665,Category-2A,No,No,Clause-a,Yes
2702014172,325,301674,Category-3A,No,No,Clause-a,Yes
2702034264,325,301714,Category-2A,No,No,Clause-a,Yes
2705111195,325,301721,Sc,No,Yes,Clause-a,Yes
2702018289,325,301722,Sc,No,No,Clause-a,Yes
2703024041,325,301773,Category-2A,No,No,Clause-a,Yes
2707002036,325,301796,Category-3B,No,No,Clause-a,Yes
2703017313,325,301814,Category-2A,Yes,No,Clause-a,Yes
2704011107,325,301819,Category-2A,No,No,Clause-a,Yes
2702003692,325,301862,General Merit,No,No,Clause-a,Yes
2706015311,325,301875,Category-2A,No,No,Clause-a,Yes
2708006395,325,301887,Sc,No,No,Clause-a,Yes
2705102090,325,301921,Sc,Yes,Yes,Clause-a,Yes
2702007397,325,301932,Sc,Yes,No,Clause-a,Yes
2702101734,325,301954,General Merit,No,No,Clause-a,Yes
2705113127,325,301955,Category-2A,Yes,No,Clause-a,Yes
2702025291,325,301963,General Merit,No,No,Clause-a,Yes
2702011342,325,302013,Sc,No,Yes,Clause-a,Yes
2705113187,325,302027,General Merit,Yes,No,Clause-a,Yes
2704010073,325,302031,Category-2B,No,No,Clause-a,Yes
2702105922,325,302086,Category-1,No,No,Clause-a,Yes
2705106414,325,302096,Category-2A,Yes,No,Clause-a,Yes
2703001072,325,302113,Category-2B,No,No,Clause-a,Yes
2703018109,325,302114,Category-2A,No,No,Clause-a,Yes
2705004200,325,302129,Sc,Yes,No,Clause-a,Yes
2702023137,325,302158,Category-3A,No,No,Clause-a,Yes
2708020202,325,302173,Sc,No,No,Clause-a,Yes
2708007341,325,302203,Sc,No,No,Clause-a,Yes
2702105556,325,302315,Category-2A,No,No,Clause-a,Yes
2705008014,325,302336,Sc,Yes,Yes,Clause-a,Yes
2703007107,325,302353,Category-2A,No,No,Clause-a,Yes
2702115391,325,302401,General Merit,No,No,Clause-a,Yes
2703031154,325,302410,Category-3B,No,No,Clause-a,Yes
2706035102,325,302446,Category-3B,No,No,Clause-a,Yes
2702001928,325,302472,Category-3A,No,No,Clause-a,Yes
2702116307,325,302506,Category-2A,No,No,Clause-a,Yes
2702018218,325,302517,Category-3A,No,No,Clause-a,Yes
2704004097,325,302549,Category-3B,No,Yes,Clause-a,Yes
2705109272,325,302606,Category-3B,Yes,No,Clause-a,Yes
2706028016,325,302633,General Merit,No,No,Clause-a,Yes
2707002460,325,302638,Sc,No,Yes,Clause-a,Yes
2702003789,325,302642,Sc,No,Yes,Clause-a,Yes
2702106412,325,302689,Category-3A,No,Yes,Clause-a,Yes
2702116374,325,302852,Category-2A,No,No,Clause-a,Yes
2702130061,324,302959,Category-2A,No,No,Clause-a,Yes
2702011193,324,302997,General Merit,No,No,Clause-a,Yes
2706006094,324,303033,Category-1,Yes,No,Clause-a,Yes
2702018118,324,303049,Category-3A,No,Yes,Clause-a,Yes
2708003147,324,303077,Sc,No,No,Clause-a,Yes
2708013098,324,303078,Sc,No,No,Clause-a,Yes
2705008174,324,303119,Category-2B,Yes,No,Clause-b,Yes
2708004379,324,303155,General Merit,No,No,Clause-a,Yes
2705123361,324,303188,Category-3B,Yes,No,Clause-a,Yes
2702109512,324,303221,Category-1,No,No,Clause-a,Yes
2703008416,324,303240,Category-2A,Yes,No,Clause-a,Yes
2702002714,324,303252,Category-2A,No,Yes,Clause-a,Yes
2708013019,324,303262,Category-2B,No,No,Clause-a,Yes
2702127130,324,303263,Sc,No,No,Clause-a,Yes
2707007309,324,303274,Sc,No,No,Clause-a,Yes
2705104274,324,303275,Category-2B,Yes,No,Clause-a,Yes
2702109327,324,303276,Sc,No,No,Clause-a,Yes
2707004080,324,303278,Category-3B,Yes,No,Clause-a,Yes
2708016283,324,303280,Category-1,No,No,Clause-a,Yes
2702010008,324,303300,Sc,Yes,No,Clause-a,Yes
2703010318,324,303315,Sc,No,No,Clause-a,Yes
2702128140,324,303330,General Merit,No,No,Clause-a,Yes
2705103160,324,303366,Category-2B,Yes,No,Clause-a,Yes
2705112228,324,303390,Category-2A,Yes,No,Clause-a,Yes
2707001209,324,303407,Category-3B,No,Yes,Clause-a,Yes
2702106926,324,303413,General Merit,No,No,Clause-a,Yes
2703003511,324,303423,Sc,Yes,No,Clause-a,Yes
2707007274,324,303471,Category-2A,No,Yes,Clause-a,Yes
2701007034,324,303478,General Merit,No,No,Clause-c,Yes
2708014359,324,303529,Category-2A,No,No,Clause-a,Yes
2702101156,324,303554,Sc,No,No,Clause-a,Yes
2708018216,324,303571,Sc,No,No,Clause-a,Yes
2705024022,324,303602,Sc,Yes,No,Clause-a,Yes
2703007338,324,303606,Category-1,No,No,Clause-a,Yes
2704001378,324,303619,Category-3B,No,No,Clause-a,Yes
2702102588,324,303651,Category-2A,No,Yes,Clause-a,Yes
2705002442,324,303687,Category-3B,Yes,No,Clause-a,Yes
2702004662,324,303707,Category-2B,No,No,Clause-a,Yes
2703014003,324,303787,Sc,Yes,No,Clause-a,Yes
2705108159,324,303832,Category-2B,No,No,Clause-a,Yes
2702107039,324,303841,Category-1,No,No,Clause-a,Yes
2707005112,324,303843,Category-3A,No,No,Clause-a,Yes
2702113153,324,303907,General Merit,No,No,Clause-a,Yes
2702118219,324,303928,Sc,No,No,Clause-a,Yes
2704005170,324,303948,Category-2A,No,Yes,Clause-a,Yes
2705009116,324,304051,Category-2A,Yes,No,Clause-a,Yes
2705002333,324,304118,Sc,Yes,No,Clause-a,Yes
2702039255,324,304141,General Merit,Yes,No,Clause-a,Yes
2702016278,324,304143,General Merit,No,No,Clause-a,Yes
2707005397,324,304155,Category-2A,No,No,Clause-a,Yes
2702021419,324,304166,General Merit,No,No,Clause-g,Yes
2702122107,324,304169,General Merit,No,No,Clause-a,Yes
2708024100,324,304203,General Merit,No,No,Clause-a,Yes
2707003003,324,304276,Category-3B,No,No,Clause-a,Yes
2702124335,324,304317,Sc,No,No,Clause-a,Yes
2706020115,324,304451,Category-1,No,No,Clause-a,Yes
2702023221,324,304454,General Merit,No,No,Clause-a,Yes
2702010263,324,304507,General Merit,No,No,Clause-a,Yes
2703020224,323,304532,Category-3A,No,No,Clause-a,Yes
2702130054,323,304559,General Merit,No,No,Clause-a,Yes
2705102045,323,304565,Sc,Yes,No,Clause-a,Yes
2702123026,323,304588,Category-1,No,No,Clause-a,Yes
2705025002,323,304608,Sc,Yes,Yes,Clause-a,Yes
2701020256,323,304626,Sc,No,No,Clause-a,Yes
2705108126,323,304633,Sc,Yes,No,Clause-a,Yes
2708004167,323,304655,Sc,No,No,Clause-a,Yes
2707005076,323,304677,Category-2B,No,No,Clause-a,Yes
2702011436,323,304678,Category-2B,Yes,Yes,Clause-a,Yes
2705116063,323,304769,Sc,Yes,No,Clause-a,Yes
2705010207,323,304781,Category-2B,Yes,No,Clause-a,Yes
2703012374,323,304802,Category-2B,No,No,Clause-a,Yes
2705114194,323,304826,Category-3B,Yes,No,Clause-a,Yes
2702028268,323,304852,Category-1,No,No,Clause-a,Yes
2701019042,323,304889,Category-2A,No,No,Clause-a,Yes
2705002059,323,304966,Category-2B,Yes,No,Clause-a,Yes
2702014191,323,304970,Category-3B,No,No,Clause-a,Yes
2705001643,323,304987,Category-1,Yes,No,Clause-a,Yes
2704004143,323,305017,Category-3B,No,Yes,Clause-a,Yes
2702113025,323,305090,Sc,No,Yes,Clause-a,Yes
2705006214,323,305116,Sc,Yes,No,Clause-a,Yes
2707001523,323,305120,Category-2B,No,Yes,Clause-a,Yes
2707009254,323,305125,General Merit,No,No,Clause-a,Yes
2702113061,323,305160,Category-3B,No,No,Clause-a,Yes
2702007078,323,305282,Category-3B,No,No,Clause-a,Yes
2705110131,323,305284,Sc,Yes,Yes,Clause-a,Yes
2702037089,323,305298,General Merit,No,No,Clause-a,Yes
2707010072,323,305311,Sc,No,No,Clause-a,Yes
2702030258,323,305366,Category-3B,No,No,Clause-a,Yes
2702118292,323,305404,Category-3A,No,No,Clause-a,Yes
2706005425,323,305419,Category-2A,No,No,Clause-a,Yes
2702028180,323,305439,Sc,No,No,Clause-a,Yes
2702019017,323,305443,Category-3B,No,No,Clause-a,Yes
2706012104,323,305450,Category-3A,Yes,No,Clause-a,Yes
2705027070,323,305523,Sc,Yes,Yes,Clause-a,Yes
2702102935,323,305559,Category-2A,Yes,Yes,Clause-a,Yes
2706012113,323,305573,Category-2A,Yes,No,Clause-a,Yes
2708009235,323,305606,Category-3A,No,No,Clause-a,Yes
2704006164,323,305672,Category-2A,No,Yes,Clause-a,Yes
2702107060,323,305714,Sc,No,No,Clause-a,Yes
2706024491,323,305762,General Merit,No,No,Clause-a,Yes
2702037163,323,305775,General Merit,No,No,Clause-a,Yes
2705004224,323,305783,Sc,Yes,No,Clause-a,Yes
2702123099,323,305807,Category-3A,No,No,Clause-a,Yes
2708016056,323,305833,Sc,No,No,Clause-a,Yes
2702031212,323,305870,Category-2A,No,No,Clause-a,Yes
2702116244,323,306000,Sc,No,No,Clause-a,Yes
