year,round,college_code,college_name,course,seat_type,category,closing_rank
2023,R2,M082,,MBBS-GOVT.,GOVT,SCRH,123682
2023,R2,M041,,MBBS-GOVT.,GOVT,SCR,126362
2023,R2,M085,,MBBS-GOVT.,GOVT,SCG,159878
2023,R2,M063,,MBBS-GOVT.,GOVT,JK,124236
2023,R2,M044,,MBBS-GOVT.,GOVT,SCG,132320
2023,R2,M074,,MBBS-GOVT.,GOVT,STH,142651
2023,R2,M075,,MBBS-GOVT.,GOVT,STR,125797
2023,R2,M041,,MBBS-GOVT.,GOVT,SCKH,126031
2023,R2,M064,,MBBS-GOVT.,GOVT,SCG,185436
2023,R2,M072,,MBBS-GOVT.,GOVT,STH,133451
2023,R2,M002,,MBBS-GOVT.,GOVT,SCG,162819
2023,R2,M010,,MBBS-PRIV.,PRIV,GMPH,148872
2023,R2,M009,,MBBS-GOVT.,GOVT,SCG,158163
2023,R2,M045,,MBBS-GOVT.,GOVT,STH,136504
2023,R2,M002,,MBBS-GOVT.,GOVT,1K,130584
2023,R2,M031,,MBBS-GOVT.,GOVT,PH,1084316
2023,R2,M087,,MBBS-GOVT.,GOVT,STG,134143
2023,R2,M090,,MBBS-GOVT.,GOVT,1K,131316
2023,R2,M070,,MBBS-GOVT.,GOVT,STG,131499
2023,R2,M041,,MBBS-GOVT.,GOVT,SCRH,138472
2023,R2,M009,,MBBS-GOVT.,GOVT,STG,140353
2023,R2,M044,,MBBS-GOVT.,GOVT,SCH,167792
2023,R2,M036,,MBBS-GOVT.,GOVT,STG,161010
2023,R2,M076,,MBBS-GOVT.,GOVT,SCG,147889
2023,R2,M050,,MBBS-GOVT.,GOVT,SCG,164462
2023,R2,M051,,MBBS-GOVT.,GOVT,SCR,134853
2023,R2,M077,,MBBS-GOVT.,GOVT,STR,135449
2023,R2,M033,,MBBS-PRIV.,PRIV,MM,274998
2023,R2,M067,,MBBS-PRIV.,PRIV,GMPH,184935
2023,R2,M023,,MBBS-GOVT.,GOVT,1K,135755
2023,R2,M041,,MBBS-GOVT.,GOVT,JK,135894
2023,R2,M002,,MBBS-GOVT.,GOVT,STG,137003
2023,R2,M073,,MBBS-GOVT.,GOVT,STR,137030
2023,R2,M074,,MBBS-GOVT.,GOVT,STR,137075
2023,R2,M081,,MBBS-PRIV.,PRIV,GMPH,169140
2023,R2,M074,,MBBS-GOVT.,GOVT,JK,137420
2023,R2,M073,,MBBS-GOVT.,GOVT,SCH,172134
2023,R2,M008,,MBBS-PRIV.,PRIV,GMPH,153899
2023,R2,M045,,MBBS-GOVT.,GOVT,STRH,137757
2023,R2,M023,,MBBS-GOVT.,GOVT,3AK,138058
2023,R2,M033,,MBBS-PRIV.,PRIV,GMPH,159309
2023,R2,M043,,MBBS-PRIV.,PRIV,GMPH,147590
2023,R2,M086,,MBBS-GOVT.,GOVT,STG,162896
2023,R2,M083,,MBBS-PRIV.,PRIV,OPN,216723
2023,R2,M091,,MBBS-PRIV.,PRIV,GMPH,190343
2023,R2,M073,,MBBS-GOVT.,GOVT,3AKH,139735
2023,R2,M072,,MBBS-GOVT.,GOVT,SCRH,145215
2023,R2,M044,,MBBS-GOVT.,GOVT,JK,140007
2023,R2,M075,,MBBS-GOVT.,GOVT,SCR,151746
2023,R2,M070,,MBBS-GOVT.,GOVT,STH,140126
2023,R2,M070,,MBBS-GOVT.,GOVT,SCH,154144
2023,R2,M076,,MBBS-GOVT.,GOVT,STR,141322
2023,R2,M074,,MBBS-GOVT.,GOVT,SCR,150396
2023,R2,M044,,MBBS-GOVT.,GOVT,SCR,141788
2023,R2,M044,,MBBS-GOVT.,GOVT,STR,141982
2023,R2,M045,,MBBS-GOVT.,GOVT,SCH,156856
2023,R2,M020,,MBBS-PRIV.,PRIV,GMPH,169058
2023,R2,M090,,MBBS-GOVT.,GOVT,3AK,147674
2023,R2,M004,,MBBS-GOVT.,GOVT,SCR,164046
2023,R2,M074,,MBBS-GOVT.,GOVT,SCH,148166
2023,R2,M032,,MBBS-GOVT.,GOVT,STG,148815
2023,R2,M023,,MBBS-GOVT.,GOVT,SCG,185280
2023,R2,M090,,MBBS-PRIV.,PRIV,GMPH,159760
2023,R2,M042,,MBBS-GOVT.,GOVT,STG,172594
2023,R2,M078,,MBBS-PRIV.,PRIV,GMPH,179099
2023,R2,M075,,MBBS-GOVT.,GOVT,JK,150792
2023,R2,M087,,MBBS-GOVT.,GOVT,SCG,161466
2023,R2,M054,,MBBS-PRIV.,PRIV,GMPH,180592
2023,R2,M077,,MBBS-GOVT.,GOVT,SCR,159443
2023,R2,M092,,MBBS-GOVT.,GOVT,STG,173554
2023,R2,M073,,MBBS-GOVT.,GOVT,JK,151336
2023,R2,M050,,MBBS-GOVT.,GOVT,STG,155929
2023,R2,M042,,MBBS-GOVT.,GOVT,SCG,154484
2023,R2,M092,,MBBS-GOVT.,GOVT,SCG,173991
2023,R2,M076,,MBBS-GOVT.,GOVT,SPO,152296
2023,R2,M084,,MBBS-GOVT.,GOVT,STH,152527
2023,R2,M045,,MBBS-GOVT.,GOVT,STKH,153160
2023,R2,M025,,MBBS-GOVT.,GOVT,SCRH,153252
2023,R2,M045,,MBBS-GOVT.,GOVT,SCR,153353
2023,R2,M077,,MBBS-GOVT.,GOVT,SCH,153615
2023,R2,M078,,MBBS-GOVT.,GOVT,SCG,196608
2023,R2,M084,,MBBS-GOVT.,GOVT,SCR,154714
2023,R2,M071,,MBBS-PRIV.,PRIV,GMPH,184324
2023,R2,M070,,MBBS-GOVT.,GOVT,STRH,155451
2023,R2,M067,,MBBS-PRIV.,PRIV,ME,417394
2023,R2,M043,,MBBS-PRIV.,PRIV,MEH,789533
2023,R2,M064,,MBBS-PRIV.,PRIV,GMP,316681
2023,R2,M073,,MBBS-GOVT.,GOVT,SCR,156342
2023,R2,M045,,MBBS-GOVT.,GOVT,SCRH,158372
2023,R2,M076,,MBBS-GOVT.,GOVT,STH,157134
2023,R2,M069,,MBBS-PRIV.,PRIV,GMPH,180099
2023,R2,M085,,MBBS-GOVT.,GOVT,STR,157301
2023,R2,M032,,MBBS-GOVT.,GOVT,SCG,159920
2023,R2,M076,,MBBS-GOVT.,GOVT,SCR,164171
2023,R2,M008,,MBBS-GOVT.,GOVT,SCG,180271
2023,R2,M011,,MBBS-PRIV.,PRIV,RC4,337169
2023,R2,M087,,MBBS-GOVT.,GOVT,STH,167124
2023,R2,M004,,MBBS-GOVT.,GOVT,SCH,159374
2023,R2,M074,,MBBS-GOVT.,GOVT,SCK,159408
2023,R2,M073,,MBBS-GOVT.,GOVT,STRH,160038
2023,R2,M010,,MBBS-GOVT.,GOVT,SCG,176493
2023,R2,M070,,MBBS-GOVT.,GOVT,SCR,160484
2023,R2,M073,,MBBS-GOVT.,GOVT,SCK,160548
2023,R2,M003,,MBBS-GOVT.,GOVT,SCH,161337
2023,R2,M009,,MBBS-GOVT.,GOVT,STR,161721
2023,R2,M044,,MBBS-GOVT.,GOVT,STRH,161964
2023,R2,M051,,MBBS-GOVT.,GOVT,SCH,162005
2023,R2,M004,,MBBS-PRIV.,PRIV,GMPH,220340
2023,R2,M085,,MBBS-GOVT.,GOVT,SCR,166403
2023,R2,M090,,MBBS-GOVT.,GOVT,SCG,188388
2023,R2,M075,,MBBS-GOVT.,GOVT,SCH,164915
2023,R2,M064,,MBBS-GOVT.,GOVT,STG,208684
2023,R2,M075,,MBBS-GOVT.,GOVT,SCK,164214
2023,R2,M084,,MBBS-GOVT.,GOVT,SCK,164220
2023,R2,M053,,MBBS-GOVT.,GOVT,STG,164738
2023,R2,M077,,MBBS-GOVT.,GOVT,JK,164998
2023,R2,M077,,MBBS-GOVT.,GOVT,SCK,165456
2023,R2,M084,,MBBS-GOVT.,GOVT,STR,165473
2023,R2,M085,,MBBS-GOVT.,GOVT,SCH,182849
2023,R2,M081,,MBBS-GOVT.,GOVT,SCG,194888
2023,R2,M010,,MBBS-GOVT.,GOVT,STG,183464
2023,R2,M077,,MBBS-GOVT.,GOVT,SCRH,167362
2023,R2,M065,,MBBS-PRIV.,PRIV,GMPH,191701
2023,R2,M086,,MBBS-GOVT.,GOVT,SCR,173071
2023,R2,M068,,MBBS-GOVT.,GOVT,STG,181440
2023,R2,M002,,MBBS-GOVT.,GOVT,SCR,168037
2023,R2,M067,,MBBS-GOVT.,GOVT,SCG,180594
2023,R2,M008,,MBBS-GOVT.,GOVT,STG,193418
2023,R2,M075,,MBBS-GOVT.,GOVT,STH,168761
2023,R2,M045,,MBBS-GOVT.,GOVT,SCKH,169198
